CMDLINE '/home/gero/Downloads/Coding/Gero Python/Python-Practice/.venv/bin/python3' pg.py
MEM 0.125000 1764957331.3115
MEM 23.750000 1764957331.4118
MEM 23.875000 1764957331.5120
MEM 23.875000 1764957331.6123
MEM 24.000000 1764957331.7126
MEM 24.000000 1764957331.8129
MEM 24.000000 1764957331.9132
MEM 24.000000 1764957332.0135
MEM 24.000000 1764957332.1137
MEM 24.125000 1764957332.2138
MEM 24.125000 1764957332.3140
MEM 24.250000 1764957332.4143
MEM 24.500000 1764957332.5145
MEM 24.500000 1764957332.6147
MEM 24.500000 1764957332.7149
